City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.42,19.23,60.01,79.0,2.0,5.01,ZA,1593506973
Hithadhoo,-0.6,73.08,84.65,64.0,15.0,3.4,MV,1593506703
Kapaa,22.08,-159.32,78.8,78.0,90.0,11.41,US,1593506975
Rikitea,-23.12,-134.97,69.06,58.0,84.0,18.21,PF,1593506976
Katsuura,35.13,140.3,78.8,94.0,75.0,16.11,JP,1593506802
Butaritari,3.07,172.79,82.63,74.0,37.0,5.37,KI,1593506978
Arlit,18.74,7.39,94.73,29.0,0.0,11.54,NE,1593506978
Porto-Novo,6.5,2.6,78.8,88.0,40.0,9.17,BJ,1593506979
Hilo,19.73,-155.09,75.2,83.0,75.0,4.7,US,1593506980
Ushuaia,-54.8,-68.3,26.6,86.0,75.0,6.93,AR,1593506980
Cidreira,-30.18,-50.21,59.94,97.0,100.0,8.46,BR,1593506981
East London,-33.02,27.91,62.6,67.0,20.0,9.17,ZA,1593506982
Bereda,43.27,-7.54,75.0,76.0,5.0,8.99,ES,1593506983
Kumul,42.8,93.45,86.79,16.0,0.0,11.81,CN,1593506944
Suntar,62.14,117.63,84.78,37.0,50.0,3.62,RU,1593506984
Barrow,71.29,-156.79,35.6,88.0,75.0,11.41,US,1593506985
Vanavara,60.34,102.28,81.75,42.0,97.0,3.74,RU,1593506986
Busselton,-33.65,115.33,59.0,64.0,57.0,20.38,AU,1593506987
Eydhafushi,5.1,73.07,83.79,76.0,100.0,9.91,MV,1593506702
Flagstaff,35.2,-111.65,52.0,29.0,20.0,2.91,US,1593506988
Adrar,20.5,-10.07,95.86,11.0,10.0,8.61,MR,1593506989
Saint-Pierre,-21.34,55.48,77.0,65.0,0.0,19.46,RE,1593506990
Mataura,-46.19,168.86,41.36,92.0,91.0,3.31,NZ,1593506990
Shenzhen,22.55,114.07,91.0,73.0,100.0,3.0,CN,1593506411
Cockburn Town,21.46,-71.14,82.18,77.0,0.0,15.99,TC,1593506992
Thompson,55.74,-97.86,53.6,93.0,90.0,5.82,CA,1593506992
Dicabisagan,17.08,122.42,86.72,71.0,33.0,14.27,PH,1593506993
Fairbanks,64.84,-147.72,51.8,81.0,90.0,6.93,US,1593506994
Atuona,-9.8,-139.03,79.72,77.0,1.0,18.63,PF,1593506994
Port Alfred,-33.59,26.89,64.0,80.0,49.0,1.01,ZA,1593506995
Lavrentiya,65.58,-171.0,43.45,68.0,100.0,7.47,RU,1593506996
Dikson,73.51,80.55,53.47,64.0,77.0,21.92,RU,1593506997
Āsosa,10.07,34.53,72.07,81.0,90.0,3.8,ET,1593506998
Bredasdorp,-34.53,20.04,57.2,93.0,2.0,3.36,ZA,1593506999
Sitka,57.05,-135.33,53.6,81.0,90.0,6.93,US,1593506999
Bethel,41.37,-73.41,66.2,88.0,90.0,3.6,US,1593507000
Oil City,41.43,-79.71,59.0,100.0,1.0,4.7,US,1593507001
Tuatapere,-46.13,167.68,45.16,84.0,84.0,7.45,NZ,1593507001
Seoul,37.57,126.98,73.4,68.0,90.0,20.8,KR,1593506808
Molėtai,55.23,25.42,66.99,72.0,75.0,17.22,LT,1593507003
Bambous Virieux,-20.34,57.76,77.0,73.0,75.0,4.7,MU,1593507003
Chui,-33.7,-53.46,56.62,92.0,100.0,10.07,UY,1593507004
Albany,42.6,-73.97,66.0,88.0,100.0,4.07,US,1593507005
Caravelas,-17.71,-39.25,71.83,90.0,99.0,9.51,BR,1593507006
Kieta,-6.22,155.63,80.87,75.0,51.0,1.99,PG,1593507006
Pemangkat,1.17,108.97,82.78,75.0,61.0,6.06,ID,1593507008
Vaini,-21.2,-175.2,71.6,100.0,75.0,2.24,TO,1593507009
Indramayu,-6.33,108.32,84.42,69.0,10.0,12.44,ID,1593506818
Punta Arenas,-53.15,-70.92,23.0,92.0,3.0,3.24,CL,1593507010
Tasiilaq,65.61,-37.64,50.0,57.0,100.0,24.16,GL,1593507011
Yellowknife,62.46,-114.35,61.0,67.0,20.0,9.17,CA,1593507012
Cabo San Lucas,22.89,-109.91,78.01,88.0,100.0,6.13,MX,1593506847
Solnechnyy,50.72,136.63,72.32,50.0,18.0,4.5,RU,1593507013
Chapaevsk,52.98,49.71,62.6,42.0,40.0,6.71,RU,1593506738
Bengkulu,-3.8,102.27,86.16,62.0,5.0,8.55,ID,1593506820
Rome,43.21,-75.46,66.2,82.0,90.0,3.36,US,1593506993
Nikolskoye,59.7,30.79,73.0,68.0,75.0,13.42,RU,1593507016
Aksarka,66.56,67.8,56.89,60.0,100.0,8.14,RU,1593507017
Castro,-24.79,-50.01,57.33,96.0,67.0,9.01,BR,1593507017
Porbandar,21.64,69.61,88.45,65.0,93.0,6.85,IN,1593507018
Rocha,-34.48,-54.33,54.75,95.0,100.0,10.27,UY,1593507019
Carutapera,-1.2,-46.02,73.92,94.0,23.0,7.11,BR,1593507020
Kokopo,-4.35,152.26,79.45,82.0,100.0,7.34,PG,1593506953
Jizan,17.33,42.67,100.4,50.0,0.0,14.99,SA,1593507021
Cape Town,-33.93,18.42,64.99,93.0,0.0,1.12,ZA,1593507022
Damāvand,35.72,52.06,87.8,19.0,20.0,4.7,IR,1593507023
Chicama,-7.84,-79.15,62.4,86.0,58.0,4.76,PE,1593507024
Marsh Harbour,26.54,-77.06,81.9,73.0,0.0,6.33,BS,1593507024
Cayenne,4.93,-52.33,73.4,100.0,30.0,7.16,GF,1593507025
Saint Paul Harbor,57.79,-152.41,55.4,66.0,1.0,8.05,US,1593507026
Parabel',58.7,81.48,68.2,48.0,5.0,13.04,RU,1593507027
Sladkovo,55.53,70.34,61.75,69.0,100.0,10.56,RU,1593507028
Tignère,7.37,12.65,64.65,99.0,100.0,0.4,CM,1593507028
Westport,41.14,-73.36,66.0,99.0,21.0,6.04,US,1593507029
Soyo,-6.13,12.37,75.2,78.0,75.0,3.47,AO,1593507030
Mount Isa,-20.73,139.5,75.2,29.0,15.0,4.7,AU,1593507031
Sur,22.57,59.53,97.36,46.0,0.0,7.72,OM,1593507032
Hobart,-42.88,147.33,51.8,66.0,90.0,8.05,AU,1593506942
Verkhnyaya Inta,65.98,60.31,44.69,74.0,100.0,12.73,RU,1593507034
Svobodnyy,51.4,128.13,82.56,46.0,28.0,5.59,RU,1593507034
Avarua,-21.21,-159.78,75.2,73.0,14.0,17.22,CK,1593507035
Melita,49.27,-101.0,68.0,93.0,100.0,8.99,CA,1593507036
Heraclea,37.51,34.05,81.95,21.0,28.0,7.27,TR,1593507036
Savannakhet,16.57,104.75,91.4,49.0,75.0,2.24,LA,1593506821
Tiksi,71.69,128.87,50.41,59.0,64.0,6.22,RU,1593506904
Kloulklubed,7.04,134.26,77.0,88.0,90.0,4.7,PW,1593507039
Bo Phloi,14.32,99.52,91.96,52.0,84.0,13.47,TH,1593507039
Mar del Plata,-38.0,-57.56,52.0,81.0,90.0,16.11,AR,1593507040
Port Hedland,-20.32,118.57,82.4,28.0,40.0,9.17,AU,1593507041
Kavieng,-2.57,150.8,82.99,76.0,85.0,8.63,PG,1593507042
Aginskoye,51.1,114.53,64.0,84.0,100.0,5.5,RU,1593507043
Kailua,21.4,-157.74,80.6,69.0,40.0,4.7,US,1593507044
Vestmannaeyjar,63.44,-20.27,48.2,93.0,75.0,12.75,IS,1593507044
Mahébourg,-20.41,57.7,75.2,73.0,75.0,4.7,MU,1593507045
Tigil',57.8,158.67,55.83,74.0,0.0,10.4,RU,1593507046
Tuktoyaktuk,69.45,-133.04,41.97,78.0,96.0,9.35,CA,1593507046
Chokurdakh,70.63,147.92,55.63,40.0,51.0,11.81,RU,1593507047
Nanortalik,60.14,-45.24,39.51,91.0,97.0,8.55,GL,1593507048
Bilma,18.69,12.92,95.52,10.0,0.0,2.15,NE,1593507048
Holme,56.11,10.17,62.6,72.0,89.0,11.41,DK,1593507049
Nueva Loja,0.08,-76.88,68.13,97.0,6.0,1.14,EC,1593507050
Nizwá,22.93,57.53,108.55,16.0,3.0,7.54,OM,1593507035
Vardø,70.37,31.11,41.0,93.0,75.0,43.62,NO,1593507051
Manado,1.49,124.85,87.8,66.0,20.0,3.36,ID,1593507052
Olafsvik,64.89,-23.71,48.49,80.0,80.0,10.16,IS,1593507053
Nome,64.5,-165.41,44.6,75.0,1.0,6.93,US,1593507053
Leningradskiy,69.38,178.42,33.19,94.0,99.0,3.18,RU,1593507054
Ancud,-41.87,-73.82,44.01,100.0,75.0,3.36,CL,1593507055
Pervomayskoye,43.92,46.71,94.46,21.0,0.0,8.7,RU,1593507055
Tazovsky,67.47,78.7,54.73,88.0,100.0,11.61,RU,1593507056
New Norfolk,-42.78,147.06,45.0,81.0,100.0,2.3,AU,1593507007
Mgachi,51.05,142.27,59.13,57.0,34.0,6.58,RU,1593507057
Fort Nelson,58.81,-122.7,49.12,97.0,84.0,2.08,CA,1593507058
Airai,-8.93,125.41,62.2,98.0,100.0,3.09,TL,1593507059
Acaraú,-2.89,-40.12,74.59,90.0,47.0,11.97,BR,1593507059
Beatrice,40.27,-96.75,77.0,88.0,1.0,10.29,US,1593507060
Hofn,64.25,-15.21,55.4,43.0,20.0,17.22,IS,1593507061
Xining,36.62,101.77,70.9,37.0,100.0,1.59,CN,1593506879
Arraial do Cabo,-22.97,-42.03,69.8,77.0,40.0,8.05,BR,1593507062
Natal,-5.79,-35.21,71.6,88.0,11.0,6.93,BR,1593507063
Entre Rios,-11.94,-38.08,66.78,99.0,32.0,3.33,BR,1593507064
Gazojak,41.19,61.4,93.56,11.0,0.0,6.89,TM,1593507064
Ahipara,-35.17,173.17,53.1,83.0,100.0,14.67,NZ,1593507065
Dombås,62.07,9.12,55.06,62.0,70.0,2.71,NO,1593507066
Hasaki,35.73,140.83,77.0,94.0,75.0,11.41,JP,1593507066
Sokolo,14.73,-6.12,92.66,40.0,0.0,9.73,ML,1593507067
Araouane,18.9,-3.53,98.64,10.0,0.0,11.97,ML,1593507068
Hambantota,6.12,81.12,82.4,94.0,75.0,11.41,LK,1593507068
Mandera,3.94,41.87,90.57,41.0,85.0,19.06,KE,1593507069
San Quintín,30.48,-115.95,61.72,80.0,46.0,7.47,MX,1593507070
Saskylakh,71.92,114.08,91.72,23.0,0.0,13.04,RU,1593507071
Saldanha,-33.01,17.94,55.4,87.0,0.0,5.46,ZA,1593507056
Bluff,-46.6,168.33,46.78,76.0,95.0,18.61,NZ,1593507072
Rumoi,43.93,141.64,67.08,88.0,100.0,3.11,JP,1593507073
Havøysund,71.0,24.66,41.0,75.0,75.0,18.34,NO,1593507073
Jamestown,42.1,-79.24,63.0,93.0,75.0,3.36,US,1593506928
Olinda,-8.01,-34.86,73.4,88.0,40.0,2.24,BR,1593507058
Rovaniemi,66.5,25.72,57.2,93.0,75.0,11.41,FI,1593507076
Taltal,-25.4,-70.48,55.83,65.0,0.0,3.8,CL,1593507078
Alofi,-19.06,-169.92,75.2,100.0,100.0,8.05,NU,1593507079
Qaanaaq,77.48,-69.36,36.82,80.0,99.0,2.62,GL,1593507079
Codrington,-38.27,141.97,46.83,67.0,82.0,11.16,AU,1593507080
Shimoda,34.67,138.95,75.2,100.0,75.0,23.04,JP,1593507081
Broken Hill,-31.95,141.43,60.8,21.0,0.0,8.05,AU,1593507082
Klaksvík,62.23,-6.59,51.8,66.0,88.0,17.22,FO,1593507083
Mopti,14.67,-4.0,94.42,35.0,0.0,14.03,ML,1593507084
George Town,5.41,100.34,89.6,62.0,20.0,10.29,MY,1593506831
Labuhan,-6.88,112.21,85.93,61.0,0.0,7.74,ID,1593507085
Weinan,34.5,109.51,95.0,41.0,20.0,6.71,CN,1593507086
Lompoc,34.64,-120.46,53.01,87.0,0.0,3.36,US,1593507087
Grootfontein,-19.57,18.12,64.76,24.0,0.0,12.26,NA,1593506792
Jiexiu,37.02,111.91,81.12,40.0,97.0,2.01,CN,1593507088
Pathein,16.78,94.73,88.9,65.0,76.0,11.7,MM,1593506799
Port Hardy,50.7,-127.42,53.04,84.0,27.0,14.72,CA,1593507089
Vao,-22.67,167.48,68.18,65.0,0.0,19.48,NC,1593507090
Soe,-9.86,124.28,69.53,84.0,53.0,7.36,ID,1593507091
Khatanga,71.97,102.5,89.26,26.0,78.0,18.77,RU,1593507092
Cap Malheureux,-19.98,57.61,77.0,67.0,0.0,10.0,MU,1593507092
Villazón,-22.09,-65.59,32.02,63.0,5.0,2.06,BO,1593507093
Aklavik,68.22,-135.01,57.2,71.0,75.0,3.36,CA,1593507094
Muli,2.92,73.57,84.2,73.0,15.0,6.8,MV,1593507094
Poum,-20.23,164.02,69.55,65.0,4.0,19.93,NC,1593507095
Safi,32.3,-9.24,72.88,72.0,52.0,8.63,MA,1593506994
Tommot,58.96,126.29,83.37,40.0,50.0,6.17,RU,1593507096
Pisco,-13.7,-76.22,55.4,82.0,0.0,1.12,PE,1593507097
Richards Bay,-28.78,32.04,70.14,53.0,21.0,16.42,ZA,1593507098
Baruun-Urt,46.68,113.28,75.56,41.0,73.0,11.34,MN,1593507099
Shahr-e Bābak,30.12,55.12,91.8,10.0,0.0,10.38,IR,1593507100
Jevargi,17.02,76.77,87.49,57.0,100.0,4.61,IN,1593507101
Dingle,11.0,122.67,85.51,71.0,43.0,4.88,PH,1593507102
Ascension,30.22,-90.9,78.8,94.0,73.0,4.45,US,1593507103
Gmina Opole Lubelskie,51.15,21.97,75.0,75.0,5.0,9.86,PL,1593507103
Faanui,-16.48,-151.75,78.64,77.0,56.0,24.52,PF,1593507104
Izvestkovyy,48.98,131.55,78.33,56.0,31.0,2.21,RU,1593507105
Vila Franca do Campo,37.72,-25.43,68.0,77.0,75.0,4.7,PT,1593507106
Mareeba,-17.0,145.43,71.6,64.0,0.0,11.41,AU,1593507106
Provideniya,64.38,-173.3,42.62,90.0,100.0,6.2,RU,1593507107
Atasū,48.68,71.64,84.87,19.0,56.0,12.55,KZ,1593507092
Wattegama,6.8,81.48,82.4,94.0,75.0,11.41,LK,1593507108
Shiyan,32.65,110.78,97.16,34.0,10.0,4.34,CN,1593506997
Port Lincoln,-34.73,135.87,57.11,80.0,0.0,8.57,AU,1593507110
Pontianak,-0.03,109.33,82.54,85.0,100.0,3.89,ID,1593507032
Carnarvon,-24.87,113.63,73.4,46.0,0.0,13.87,AU,1593507113
Praia da Vitória,38.73,-27.07,68.0,94.0,75.0,13.04,PT,1593507113
Petawawa,45.9,-77.33,61.0,87.0,40.0,3.0,CA,1593507114
Honningsvåg,70.98,25.97,41.0,75.0,75.0,18.34,NO,1593507115
Pimentel,-6.84,-79.93,63.19,87.0,91.0,13.29,PE,1593507115
Sakakah,29.97,40.21,93.2,13.0,0.0,5.82,SA,1593507116
Ponta do Sol,32.67,-17.1,70.0,82.0,40.0,6.93,PT,1593507117
Vanimo,-2.67,141.3,80.64,73.0,64.0,2.17,PG,1593507118
Borba,-4.39,-59.59,71.65,96.0,42.0,1.16,BR,1593507119
Haines Junction,60.75,-137.51,44.42,74.0,65.0,4.14,CA,1593507120
Cherskiy,68.75,161.3,51.42,54.0,94.0,13.87,RU,1593507120
Altay,47.87,88.12,55.08,76.0,100.0,0.74,CN,1593507122
Paramonga,-10.67,-77.83,60.17,86.0,66.0,7.43,PE,1593507123
Barra do Garças,-15.89,-52.26,62.58,73.0,66.0,2.33,BR,1593507123
Kindu,-2.95,25.95,94.77,35.0,100.0,1.52,CD,1593507124
Kaitangata,-46.28,169.85,43.0,81.0,94.0,11.01,NZ,1593507125
Turzovka,49.4,18.62,68.0,68.0,20.0,9.17,SK,1593507126
Nador,35.17,-2.93,77.0,73.0,90.0,1.12,MA,1593507126
Ayan,56.45,138.17,48.85,96.0,100.0,9.78,RU,1593507127
Nānākuli,21.39,-158.15,78.01,78.0,1.0,6.82,US,1593507128
Ostrovnoy,68.05,39.51,65.03,50.0,92.0,22.62,RU,1593507128
Impfondo,1.64,18.07,74.8,89.0,100.0,6.24,CG,1593507129
Keelung,25.13,121.74,91.0,74.0,75.0,14.99,TW,1593507130
Borovoy,55.43,86.08,77.0,44.0,100.0,4.47,RU,1593507130
Morón,-34.65,-58.62,53.01,100.0,90.0,3.36,AR,1593507131
Ixtapa,20.7,-105.2,78.01,98.0,100.0,2.3,MX,1593507132
Panórama,40.59,23.03,93.0,58.0,0.0,9.17,GR,1593507133
Khovd,48.01,91.64,63.18,51.0,100.0,11.56,MN,1593507134
Along,28.17,94.77,83.57,83.0,52.0,3.11,IN,1593507134
Roald,62.58,6.13,60.01,77.0,75.0,12.75,NO,1593507135
Arrecife,28.96,-13.55,73.4,69.0,75.0,19.46,ES,1593506992
Torbay,47.67,-52.73,63.0,100.0,90.0,9.17,CA,1593507136
Talnakh,69.49,88.4,69.8,46.0,64.0,20.13,RU,1593507137
Coyhaique,-45.58,-72.07,35.6,95.0,40.0,3.36,CL,1593507094
Danielskuil,-28.19,23.54,57.88,34.0,0.0,11.01,ZA,1593507138
Mehamn,71.04,27.85,41.0,75.0,90.0,13.87,NO,1593507139
Sayville,40.74,-73.08,66.99,93.0,1.0,8.05,US,1593506939
Katobu,-4.94,122.53,78.73,84.0,44.0,6.31,ID,1593507140
Tilichiki,60.47,166.1,51.13,91.0,100.0,2.46,RU,1593507141
Faya,18.39,42.45,91.4,9.0,56.0,6.93,SA,1593507142
Belaya Gora,68.53,146.42,62.55,40.0,64.0,6.22,RU,1593507143
Boshnyakovo,49.63,142.17,56.98,65.0,59.0,3.29,RU,1593507144
Khandagayty,50.73,92.05,73.74,48.0,100.0,11.48,RU,1593507144
Newport,51.59,-3.0,59.0,78.0,100.0,1.99,GB,1593507000
Tessalit,20.2,1.01,101.16,8.0,0.0,19.44,ML,1593507147
Siocon,7.71,122.14,84.7,70.0,73.0,3.38,PH,1593507003
Kaeo,-35.1,173.78,52.0,3.0,57.0,3.0,NZ,1593507148
Worland,44.02,-107.96,55.4,93.0,90.0,6.93,US,1593507057
Colac,-38.33,143.58,46.99,84.0,100.0,1.01,AU,1593506858
Portland,45.52,-122.68,61.0,80.0,19.0,0.58,US,1593507144
Souillac,-20.52,57.52,75.2,73.0,75.0,4.7,MU,1593507151
Bariloche,-41.15,-71.31,33.01,92.0,90.0,1.74,AR,1593507152
Esperance,-33.87,121.9,62.6,63.0,90.0,19.46,AU,1593507153
Ponta Delgada,37.73,-25.67,68.0,77.0,75.0,4.7,PT,1593507154
Port-Gentil,-0.72,8.78,77.0,73.0,75.0,8.05,GA,1593507155
Podgornoye,51.73,39.15,77.0,38.0,26.0,6.71,RU,1593507156
Beringovskiy,63.05,179.32,42.85,94.0,100.0,5.17,RU,1593507156
Krasnosel'kup,65.7,82.47,64.85,61.0,93.0,22.84,RU,1593507157
Narsaq,60.92,-46.05,44.6,81.0,75.0,1.12,GL,1593507158
College,64.86,-147.8,51.8,76.0,75.0,5.82,US,1593507158
Nouakchott,18.09,-15.98,77.0,83.0,0.0,10.29,MR,1593507159
Yulara,-25.24,130.99,78.8,15.0,0.0,4.7,AU,1593507160
Orël-Izumrud,43.46,39.92,80.6,57.0,20.0,11.18,RU,1593507160
Bulancak,40.94,38.23,75.2,60.0,75.0,9.17,TR,1593507161
Plouzané,48.38,-4.62,59.0,100.0,90.0,14.99,FR,1593507162
Coquimbo,-29.95,-71.34,50.0,87.0,17.0,4.7,CL,1593507094
Dunedin,-45.87,170.5,44.01,89.0,92.0,1.01,NZ,1593507163
Saskatoon,52.12,-106.63,57.99,93.0,90.0,11.41,CA,1593507164
São Filipe,14.9,-24.5,73.6,80.0,2.0,10.04,CV,1593507165
Oddur,4.12,43.89,85.66,49.0,93.0,21.81,SO,1593507165
Ormara,25.21,64.64,87.03,74.0,2.0,12.39,PK,1593507166
Port Elizabeth,-33.92,25.57,62.6,77.0,40.0,4.7,ZA,1593507167
Pevek,69.7,170.31,33.66,97.0,95.0,6.78,RU,1593507167
Karaidel',55.83,56.91,59.23,52.0,97.0,8.32,RU,1593507168
Sagua la Grande,22.81,-80.08,75.2,94.0,57.0,2.24,CU,1593507169
Hong Kong,22.29,114.16,89.01,62.0,100.0,4.0,HK,1593506957
Yangjiang,21.85,111.97,86.63,71.0,82.0,8.3,CN,1593507170
Kassala,15.45,36.4,98.19,26.0,0.0,16.08,SD,1593507142
Mahibadhoo,3.78,72.97,84.11,75.0,68.0,9.51,MV,1593507171
Kahului,20.89,-156.47,80.6,54.0,1.0,5.82,US,1593507059
Grindavik,63.84,-22.43,51.8,100.0,90.0,3.36,IS,1593507173
Khingansk,49.12,131.18,75.0,53.0,26.0,4.21,RU,1593507174
Sindor,62.86,51.89,54.23,51.0,91.0,6.82,RU,1593507175
Ensley,30.52,-87.27,82.4,78.0,1.0,4.7,US,1593507175
Iracoubo,5.48,-53.2,77.76,88.0,98.0,8.79,GF,1593507176
Tshikapa,-6.42,20.8,90.34,20.0,27.0,7.11,CD,1593507177
Severo-Kuril'sk,50.68,156.12,48.78,87.0,100.0,17.65,RU,1593507177
Lorengau,-2.02,147.27,82.65,73.0,41.0,8.05,PG,1593507178
Tulun,54.56,100.58,84.15,42.0,31.0,4.07,RU,1593507180
Lebu,-37.62,-73.65,50.59,87.0,46.0,15.73,CL,1593507181
Salalah,17.02,54.09,87.8,79.0,75.0,12.75,OM,1593507181
Aksha,50.28,113.29,66.06,80.0,98.0,12.86,RU,1593507182
Kupino,54.37,77.3,71.53,41.0,61.0,4.09,RU,1593507183
Sayyan,15.17,44.32,81.43,15.0,0.0,17.38,YE,1593507184
Touros,-5.2,-35.46,71.6,94.0,10.0,5.82,BR,1593507184
Katete,-0.78,29.75,83.1,32.0,98.0,4.45,UG,1593507185
Pāsighāt,28.07,95.33,86.49,76.0,42.0,2.55,IN,1593507186
Carupano,10.67,-63.26,76.01,88.0,58.0,5.7,VE,1593507186
Constitución,-35.33,-72.42,50.41,87.0,90.0,9.28,CL,1593507187
Ruhengeri,-1.5,29.64,71.58,46.0,89.0,5.68,RW,1593507188
Aswān,24.09,32.91,100.83,11.0,0.0,14.05,EG,1593506994
Masuguru,-11.37,38.42,87.98,35.0,36.0,7.05,TZ,1593507189
Khandwa,21.83,76.33,93.6,47.0,20.0,3.94,IN,1593507190
Pocrí,8.27,-80.55,74.97,92.0,12.0,5.57,PA,1593507190
Jega,12.22,4.38,81.01,63.0,100.0,10.94,NG,1593506979
